#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,location,room
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T12:26:29.930500335Z,3524,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T12:31:58.408887319Z,3306,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T12:37:26.954846301Z,3174,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T12:42:55.66533879Z,3067,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T12:48:24.379514105Z,2981,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T12:53:53.29571253Z,2931,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T12:59:21.940008541Z,1381,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T13:04:46.890726641Z,725,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T13:10:11.218250584Z,598,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T13:15:35.643369758Z,538,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T13:21:00.296882404Z,608,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T13:26:25.097756836Z,676,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T13:31:50.462133839Z,730,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T13:37:15.338649237Z,814,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T13:42:40.13243535Z,867,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T13:48:04.845496909Z,922,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T13:53:29.726862233Z,987,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T13:58:54.678702818Z,1089,CO2,monitor_task,ESP32-5,urbino,Turing

#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,location,room
,,1,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T03:01:06.135548043Z,3340,eco2,monitor_task,ESP32-5,urbino,Turing
,,1,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T03:06:30.652046627Z,3345,eco2,monitor_task,ESP32-5,urbino,Turing
,,1,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T03:11:55.456254708Z,3334,eco2,monitor_task,ESP32-5,urbino,Turing
,,1,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T03:17:20.332066316Z,3330,eco2,monitor_task,ESP32-5,urbino,Turing
,,1,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T03:22:45.131728251Z,3338,eco2,monitor_task,ESP32-5,urbino,Turing
,,1,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T03:28:09.704134588Z,3324,eco2,monitor_task,ESP32-5,urbino,Turing
,,1,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T03:33:34.122827382Z,3315,eco2,monitor_task,ESP32-5,urbino,Turing
,,1,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T03:38:58.523912754Z,3321,eco2,monitor_task,ESP32-5,urbino,Turing
